ImageId_ClassId,EncodedBoxes
015ed7fac.jpg_4,
01661826d.jpg_1,1324 25 1374 148 1396 83 1449 169
01661826d.jpg_2,
01661826d.jpg_3,
01661826d.jpg_4,
0167a740e.jpg_1,903 0 922 144
0167a740e.jpg_2,
0167a740e.jpg_3,
0167a740e.jpg_4,
016af13d0.jpg_1,
016af13d0.jpg_2,
016af13d0.jpg_3,39 0 71 256 184 0 279 255
016af13d0.jpg_4,
016efe618.jpg_1,
016efe618.jpg_2,
016efe618.jpg_3,
016efe618.jpg_4,0 74 503 256 395 0 594 107 914 188 1000 256 1353 37 1477 154
01764ee81.jpg_1,
01764ee81.jpg_2,
01764ee81.jpg_3,1 127 146 256 181 13 208 50 799 226 823 256 833 162 913 256 968 161 1107 256 1105 63 1128 256 1262 163 1282 250 1283 2 1306 256 1346 2 1416 255 1468 0 1527 256
01764ee81.jpg_4,
017c828a1.jpg_1,962 0 990 157
017c828a1.jpg_2,
017c828a1.jpg_3,
017c828a1.jpg_4,
017d75655.jpg_1,
017d75655.jpg_2,
017d75655.jpg_3,
017d75655.jpg_4,
0181695f9.jpg_1,
0181695f9.jpg_2,
0181695f9.jpg_3,
0181695f9.jpg_4,
018ccdfed.jpg_1,
018ccdfed.jpg_2,
018ccdfed.jpg_3,
018ccdfed.jpg_4,764 1 958 63 1094 1 1228 84 1327 1 1406 251 1423 19 1516 196 1442 205 1509 250
01919944c.jpg_1,
01919944c.jpg_2,
01919944c.jpg_3,0 0 420 256 700 110 746 254 1472 2 1511 254
01919944c.jpg_4,
0198ab92d.jpg_1,
0198ab92d.jpg_2,
0198ab92d.jpg_3,
0198ab92d.jpg_4,
019f42c2a.jpg_1,
019f42c2a.jpg_2,
019f42c2a.jpg_3,167 0 210 256 224 1 262 256 469 0 518 256 540 0 567 256 633 1 658 256 1107 0 1135 256 1252 0 1332 256 1339 49 1361 255 1510 0 1534 256
019f42c2a.jpg_4,
01a1027ce.jpg_1,
01a1027ce.jpg_2,
01a1027ce.jpg_3,611 0 636 256 752 0 774 248
01a1027ce.jpg_4,
01afbfa7a.jpg_1,
01afbfa7a.jpg_2,
01afbfa7a.jpg_3,
01afbfa7a.jpg_4,1062 48 1215 125
01b043500.jpg_1,
01b043500.jpg_2,
01b043500.jpg_3,718 1 771 256
01b043500.jpg_4,
01b237ab8.jpg_1,
01b237ab8.jpg_2,
01b237ab8.jpg_3,
01b237ab8.jpg_4,
01b492dd6.jpg_1,
01b492dd6.jpg_2,
01b492dd6.jpg_3,12 24 40 67
01b492dd6.jpg_4,
01b6c2dc1.jpg_1,
01b6c2dc1.jpg_2,
01b6c2dc1.jpg_3,
01b6c2dc1.jpg_4,
01c3ef286.jpg_1,
01c3ef286.jpg_2,
01c3ef286.jpg_3,321 3 349 252 696 147 722 256
01c3ef286.jpg_4,
01cf446d4.jpg_1,
01cf446d4.jpg_2,
01cf446d4.jpg_3,685 0 712 252
01cf446d4.jpg_4,
01cfacf80.jpg_1,
01cfacf80.jpg_2,
01cfacf80.jpg_3,1168 0 1418 146
01cfacf80.jpg_4,0 0 568 211 1538 1 1594 57
01d590c5f.jpg_1,
01d590c5f.jpg_2,
01d590c5f.jpg_3,
01d590c5f.jpg_4,
01d97b205.jpg_1,
01d97b205.jpg_2,
01d97b205.jpg_3,
01d97b205.jpg_4,
01dbcd2ec.jpg_1,
01dbcd2ec.jpg_2,
01dbcd2ec.jpg_3,
01dbcd2ec.jpg_4,
01df77e59.jpg_1,66 195 98 234 115 24 141 68 1155 170 1171 198
01df77e59.jpg_2,
01df77e59.jpg_3,
01df77e59.jpg_4,
01e020dc5.jpg_1,
01e020dc5.jpg_2,
01e020dc5.jpg_3,252 0 272 136 477 0 504 256 559 2 573 256 619 0 720 256 763 0 780 256 791 0 842 190 1150 0 1222 253
01e020dc5.jpg_4,
01e501f99.jpg_1,
01e501f99.jpg_2,
01e501f99.jpg_3,
01e501f99.jpg_4,
01e69cfc3.jpg_1,
01e69cfc3.jpg_2,
01e69cfc3.jpg_3,
01e69cfc3.jpg_4,
01ebe0d32.jpg_1,
01ebe0d32.jpg_2,
01ebe0d32.jpg_3,382 1 402 130 741 162 812 256 850 120 890 256 1079 0 1176 256
01ebe0d32.jpg_4,
01fd320c9.jpg_1,
01fd320c9.jpg_2,
01fd320c9.jpg_3,555 200 786 237 832 202 1073 247 1074 209 1229 241 1127 206 1127 207 1129 207 1133 208
01fd320c9.jpg_4,
01fd50e68.jpg_1,
01fd50e68.jpg_2,
01fd50e68.jpg_3,468 18 484 256 845 0 873 256 1089 0 1105 256
01fd50e68.jpg_4,
0202a5f22.jpg_1,
0202a5f22.jpg_2,
0202a5f22.jpg_3,
0202a5f22.jpg_4,
020ff3106.jpg_1,
020ff3106.jpg_2,
020ff3106.jpg_3,207 33 238 231 419 224 456 255
020ff3106.jpg_4,
0217af9b1.jpg_1,
0217af9b1.jpg_2,
0217af9b1.jpg_3,336 0 356 256
0217af9b1.jpg_4,
0218c0fcc.jpg_1,
0218c0fcc.jpg_2,
0218c0fcc.jpg_3,
0218c0fcc.jpg_4,815 5 957 74 995 138 1117 220
02291e913.jpg_1,
02291e913.jpg_2,
02291e913.jpg_3,662 2 677 255 1081 1 1111 142
02291e913.jpg_4,
023353d24.jpg_1,
023353d24.jpg_2,
023353d24.jpg_3,
023353d24.jpg_4,
023a21cf2.jpg_1,
023a21cf2.jpg_2,
023a21cf2.jpg_3,
023a21cf2.jpg_4,
02431211b.jpg_1,
02431211b.jpg_2,
02431211b.jpg_3,970 0 1000 256 1352 0 1370 255 1384 2 1405 255 1458 1 1476 186
02431211b.jpg_4,
02449f836.jpg_1,
02449f836.jpg_2,
02449f836.jpg_3,
02449f836.jpg_4,
025cb9f6e.jpg_1,
025cb9f6e.jpg_2,
025cb9f6e.jpg_3,1085 1 1109 256 1168 0 1200 256
025cb9f6e.jpg_4,
025dc8dc8.jpg_1,
025dc8dc8.jpg_2,
025dc8dc8.jpg_3,1243 65 1298 256 1381 125 1400 148
025dc8dc8.jpg_4,
026105525.jpg_1,
026105525.jpg_2,
026105525.jpg_3,
026105525.jpg_4,
026183d85.jpg_1,
026183d85.jpg_2,469 63 487 227
026183d85.jpg_3,
026183d85.jpg_4,
02701c239.jpg_1,
02701c239.jpg_2,
02701c239.jpg_3,629 1 649 255 1050 0 1068 256
02701c239.jpg_4,
02709b038.jpg_1,
02709b038.jpg_2,
02709b038.jpg_3,
02709b038.jpg_4,
0274a26b4.jpg_1,
0274a26b4.jpg_2,
0274a26b4.jpg_3,
0274a26b4.jpg_4,
02761e0d1.jpg_1,
02761e0d1.jpg_2,
02761e0d1.jpg_3,
02761e0d1.jpg_4,
027b280f4.jpg_1,
027b280f4.jpg_2,
027b280f4.jpg_3,
027b280f4.jpg_4,
0281aba7b.jpg_1,
0281aba7b.jpg_2,
0281aba7b.jpg_3,151 191 175 232 476 0 499 256 511 0 536 256
0281aba7b.jpg_4,
0285f63ad.jpg_1,
0285f63ad.jpg_2,
0285f63ad.jpg_3,
0285f63ad.jpg_4,
028eb44d1.jpg_1,
028eb44d1.jpg_2,
028eb44d1.jpg_3,0 96 51 256 101 45 157 256 363 193 403 237 694 73 800 204 821 81 870 145 961 168 995 205 1337 229 1390 256 1353 140 1404 187 1509 145 1545 178
028eb44d1.jpg_4,
028ed7768.jpg_1,
028ed7768.jpg_2,
028ed7768.jpg_3,960 0 981 145 1003 0 1119 256
028ed7768.jpg_4,
0294f23c0.jpg_1,
0294f23c0.jpg_2,
0294f23c0.jpg_3,707 1 736 256 1270 0 1318 256
0294f23c0.jpg_4,
02a78fb18.jpg_1,
02a78fb18.jpg_2,
02a78fb18.jpg_3,
02a78fb18.jpg_4,
02aa62471.jpg_1,
02aa62471.jpg_2,
02aa62471.jpg_3,
02aa62471.jpg_4,
02b2cb5c3.jpg_1,
02b2cb5c3.jpg_2,
02b2cb5c3.jpg_3,
02b2cb5c3.jpg_4,
02b2d3aa4.jpg_1,383 105 413 192 421 83 458 124 527 199 565 255 570 186 597 256
02b2d3aa4.jpg_2,
02b2d3aa4.jpg_3,
02b2d3aa4.jpg_4,
02b6b9f29.jpg_1,
02b6b9f29.jpg_2,
02b6b9f29.jpg_3,
02b6b9f29.jpg_4,
02b906933.jpg_1,
02b906933.jpg_2,
02b906933.jpg_3,428 0 451 256 1104 1 1127 256
02b906933.jpg_4,
02bb80457.jpg_1,
02bb80457.jpg_2,
02bb80457.jpg_3,
02bb80457.jpg_4,
02bf279c9.jpg_1,
02bf279c9.jpg_2,
02bf279c9.jpg_3,216 141 321 256
02bf279c9.jpg_4,
02c4655ff.jpg_1,324 38 350 113 1124 163 1146 209 1150 47 1163 101 1210 11 1229 74 1266 144 1289 219 1290 112 1315 226
02c4655ff.jpg_2,
02c4655ff.jpg_3,
02c4655ff.jpg_4,
02c79bfcb.jpg_1,
02c79bfcb.jpg_2,
02c79bfcb.jpg_3,580 135 828 174 1215 0 1366 25 1436 21 1597 74
02c79bfcb.jpg_4,
02c7f44d9.jpg_1,
02c7f44d9.jpg_2,
02c7f44d9.jpg_3,
02c7f44d9.jpg_4,
02d006f47.jpg_1,
02d006f47.jpg_2,
02d006f47.jpg_3,
02d006f47.jpg_4,
02d18b8a4.jpg_1,
02d18b8a4.jpg_2,
02d18b8a4.jpg_3,48 207 71 256 844 0 898 256 1020 1 1036 256
02d18b8a4.jpg_4,
02d3ca489.jpg_1,
02d3ca489.jpg_2,
02d3ca489.jpg_3,
02d3ca489.jpg_4,
02d573611.jpg_1,
02d573611.jpg_2,
02d573611.jpg_3,
02d573611.jpg_4,905 168 1094 255 1114 162 1174 255
02d8c6b30.jpg_1,
02d8c6b30.jpg_2,
02d8c6b30.jpg_3,753 0 868 256
02d8c6b30.jpg_4,
02ea1d0e8.jpg_1,
02ea1d0e8.jpg_2,
02ea1d0e8.jpg_3,
02ea1d0e8.jpg_4,
030336aa4.jpg_1,
030336aa4.jpg_2,
030336aa4.jpg_3,
030336aa4.jpg_4,
03098160c.jpg_1,
03098160c.jpg_2,
03098160c.jpg_3,
03098160c.jpg_4,
031179c6e.jpg_1,
031179c6e.jpg_2,
031179c6e.jpg_3,
031179c6e.jpg_4,
031614d60.jpg_1,
031614d60.jpg_2,
031614d60.jpg_3,
031614d60.jpg_4,
031627893.jpg_1,
031627893.jpg_2,
031627893.jpg_3,446 56 1599 151
031627893.jpg_4,
031f334ec.jpg_1,
031f334ec.jpg_2,
031f334ec.jpg_3,104 87 162 214 1462 0 1477 192
031f334ec.jpg_4,
031fc45b5.jpg_1,
031fc45b5.jpg_2,
031fc45b5.jpg_3,
031fc45b5.jpg_4,
03216ed91.jpg_1,
03216ed91.jpg_2,
03216ed91.jpg_3,
03216ed91.jpg_4,
03284f71b.jpg_1,
03284f71b.jpg_2,
03284f71b.jpg_3,
03284f71b.jpg_4,
03395a3da.jpg_1,
03395a3da.jpg_2,
03395a3da.jpg_3,
03395a3da.jpg_4,
0340e13c4.jpg_1,
0340e13c4.jpg_2,
0340e13c4.jpg_3,545 0 573 256 579 0 623 139 631 1 675 256 1031 100 1185 184 1347 0 1504 144 1506 161 1552 256 1527 3 1571 151
0340e13c4.jpg_4,
03461f8e0.jpg_1,
03461f8e0.jpg_2,
03461f8e0.jpg_3,1191 87 1239 256 1197 111 1214 129 1217 101 1225 111 1322 115 1338 134
03461f8e0.jpg_4,
034941f9d.jpg_1,
034941f9d.jpg_2,
034941f9d.jpg_3,392 191 412 236 862 99 888 144 1120 73 1147 123 1227 45 1259 92 1320 197 1349 243
034941f9d.jpg_4,
034a72783.jpg_1,
034a72783.jpg_2,
034a72783.jpg_3,
034a72783.jpg_4,
034b387c3.jpg_1,
034b387c3.jpg_2,
034b387c3.jpg_3,
034b387c3.jpg_4,
034e64ff3.jpg_1,
034e64ff3.jpg_2,
034e64ff3.jpg_3,
034e64ff3.jpg_4,
035021da2.jpg_1,
035021da2.jpg_2,
035021da2.jpg_3,69 166 337 256
035021da2.jpg_4,
0358eaf5b.jpg_1,
0358eaf5b.jpg_2,
0358eaf5b.jpg_3,
0358eaf5b.jpg_4,
0360edfb8.jpg_1,
0360edfb8.jpg_2,
0360edfb8.jpg_3,682 0 761 256 948 46 1006 256
0360edfb8.jpg_4,
036505ca3.jpg_1,
036505ca3.jpg_2,
036505ca3.jpg_3,
036505ca3.jpg_4,
036c4e5d2.jpg_1,294 0 324 256
036c4e5d2.jpg_2,
036c4e5d2.jpg_3,
036c4e5d2.jpg_4,
036c7d18c.jpg_1,
036c7d18c.jpg_2,
036c7d18c.jpg_3,0 0 87 139 89 38 111 174 120 39 145 137 421 52 441 122 449 0 556 255 589 0 763 142 660 201 717 245 673 150 701 194 759 207 793 246 766 0 925 145 832 204 855 230 981 53 1058 180 1156 54 1185 126 1188 71 1250 151 1243 0 1416 172 1399 0 1489 48 1466 18 1597 164
036c7d18c.jpg_4,
037887e11.jpg_1,
037887e11.jpg_2,
037887e11.jpg_3,
037887e11.jpg_4,
037fca267.jpg_1,
037fca267.jpg_2,
037fca267.jpg_3,927 206 948 240 1063 17 1109 256
037fca267.jpg_4,
0384b81f8.jpg_1,
0384b81f8.jpg_2,
0384b81f8.jpg_3,
0384b81f8.jpg_4,
03860f6a9.jpg_1,
03860f6a9.jpg_2,
03860f6a9.jpg_3,52 0 181 33 55 33 210 256 83 106 144 256 202 0 470 68 211 77 736 136 590 158 646 253 740 3 817 256 895 22 950 254 952 110 1152 158 1284 26 1320 93
03860f6a9.jpg_4,
0386ce84b.jpg_1,
0386ce84b.jpg_2,
0386ce84b.jpg_3,384 76 519 194 709 200 1593 256 1188 94 1446 200
0386ce84b.jpg_4,
038c59253.jpg_1,
038c59253.jpg_2,
038c59253.jpg_3,
038c59253.jpg_4,
038c9fdad.jpg_1,
038c9fdad.jpg_2,
038c9fdad.jpg_3,
038c9fdad.jpg_4,
038f14456.jpg_1,
038f14456.jpg_2,
038f14456.jpg_3,
038f14456.jpg_4,1053 130 1222 256
0391d44d6.jpg_1,
0391d44d6.jpg_2,
0391d44d6.jpg_3,247 151 257 205 262 150 277 187 772 38 800 89 871 85 902 249 1045 48 1111 195
0391d44d6.jpg_4,265 0 440 98 404 83 578 256 649 172 726 256 1336 0 1599 256
039577d49.jpg_1,
039577d49.jpg_2,
039577d49.jpg_3,138 1 157 256 1441 0 1469 256 1477 0 1512 256 1572 2 1597 256
039577d49.jpg_4,
0399d7c46.jpg_1,
0399d7c46.jpg_2,
0399d7c46.jpg_3,
0399d7c46.jpg_4,
03ab4e3ea.jpg_1,
03ab4e3ea.jpg_2,
03ab4e3ea.jpg_3,1134 0 1212 175
03ab4e3ea.jpg_4,
03ae2bc91.jpg_1,
03ae2bc91.jpg_2,
03ae2bc91.jpg_3,
03ae2bc91.jpg_4,
03af7f0c0.jpg_1,
03af7f0c0.jpg_2,
03af7f0c0.jpg_3,
03af7f0c0.jpg_4,
03b3b06e1.jpg_1,
03b3b06e1.jpg_2,
03b3b06e1.jpg_3,
03b3b06e1.jpg_4,
03ba7286b.jpg_1,
03ba7286b.jpg_2,
03ba7286b.jpg_3,
03ba7286b.jpg_4,
03c558103.jpg_1,
03c558103.jpg_2,
03c558103.jpg_3,
03c558103.jpg_4,
03ca4d04c.jpg_1,
03ca4d04c.jpg_2,
03ca4d04c.jpg_3,0 157 133 255 87 120 158 184 148 51 688 143 149 205 597 256 194 126 373 218 548 3 1142 256
03ca4d04c.jpg_4,
03da79fda.jpg_1,707 155 738 230
03da79fda.jpg_2,
03da79fda.jpg_3,
03da79fda.jpg_4,
03db6bbc3.jpg_1,
03db6bbc3.jpg_2,
03db6bbc3.jpg_3,113 112 149 172 339 184 374 253 633 40 658 97
03db6bbc3.jpg_4,322 5 380 60 1096 89 1122 192 1102 60 1360 256 1132 1 1319 88 1319 56 1403 207 1374 220 1418 256
03e2515a7.jpg_1,
03e2515a7.jpg_2,
03e2515a7.jpg_3,
03e2515a7.jpg_4,
03f15daba.jpg_1,
03f15daba.jpg_2,
03f15daba.jpg_3,
03f15daba.jpg_4,
03faf7462.jpg_1,
03faf7462.jpg_2,
03faf7462.jpg_3,683 12 736 174 691 225 735 256
03faf7462.jpg_4,
0401d67aa.jpg_1,
0401d67aa.jpg_2,
0401d67aa.jpg_3,
0401d67aa.jpg_4,
04055fd3e.jpg_1,
04055fd3e.jpg_2,
04055fd3e.jpg_3,683 0 712 256 1054 0 1070 256 1453 0 1470 223
04055fd3e.jpg_4,
0405e7c54.jpg_1,
0405e7c54.jpg_2,39 8 67 256
0405e7c54.jpg_3,
0405e7c54.jpg_4,
04072b39a.jpg_1,
04072b39a.jpg_2,
04072b39a.jpg_3,1068 0 1116 256 1139 3 1164 256 1193 3 1212 256
04072b39a.jpg_4,
040de71ca.jpg_1,
040de71ca.jpg_2,
040de71ca.jpg_3,
040de71ca.jpg_4,
040fcc2f1.jpg_1,
040fcc2f1.jpg_2,
040fcc2f1.jpg_3,
040fcc2f1.jpg_4,
041187764.jpg_1,
041187764.jpg_2,
041187764.jpg_3,0 6 359 227
041187764.jpg_4,
041a93b6d.jpg_1,
041a93b6d.jpg_2,
041a93b6d.jpg_3,550 103 603 162 1314 68 1335 121
041a93b6d.jpg_4,
04238d7e3.jpg_1,
04238d7e3.jpg_2,
04238d7e3.jpg_3,
04238d7e3.jpg_4,
04246167f.jpg_1,
04246167f.jpg_2,
04246167f.jpg_3,1174 50 1237 256 1305 7 1356 144
04246167f.jpg_4,
042691991.jpg_1,
042691991.jpg_2,
042691991.jpg_3,
042691991.jpg_4,
0429258ad.jpg_1,1380 55 1399 163
0429258ad.jpg_2,
0429258ad.jpg_3,
0429258ad.jpg_4,
044700866.jpg_1,
044700866.jpg_2,
044700866.jpg_3,555 138 567 228 1278 166 1292 216 1452 0 1470 200
044700866.jpg_4,0 99 90 180
04505c6df.jpg_1,
04505c6df.jpg_2,
04505c6df.jpg_3,
04505c6df.jpg_4,
04594d04e.jpg_1,
04594d04e.jpg_2,
04594d04e.jpg_3,663 0 678 249 1397 2 1421 250
04594d04e.jpg_4,
046282f58.jpg_1,
046282f58.jpg_2,
046282f58.jpg_3,46 182 112 256
046282f58.jpg_4,
046c35525.jpg_1,1466 0 1491 256
046c35525.jpg_2,
046c35525.jpg_3,
046c35525.jpg_4,
0473a80ee.jpg_1,
0473a80ee.jpg_2,
0473a80ee.jpg_3,
0473a80ee.jpg_4,
047681252.jpg_1,
047681252.jpg_2,
047681252.jpg_3,
047681252.jpg_4,
047fa15d0.jpg_1,
047fa15d0.jpg_2,
